State,Data Scientist,Data Engineer,Data Analyst,Business Analyst
Alabama,103437,96843,69689,74375
Alaska,121680,141854,79092,89739
Arizona,122400,114596,82463,88010
Arkansas,96232,109017,62193,71249
California,143099,128004,75874,100388
Colorado,110256,124464,71206,81671
Connecticut,117597,114164,77036,86262
Delaware,110729,123888,71386,99863
Florida,103328,96743,69613,74298
Georgia,120321,112652,81062,86516
Hawaii,123953,145975,80736,91285
Idaho,123923,110380,65296,86739
Illinois,114459,129669,73973,84744
Indiana,122439,114633,82490,88038
Iowa,118653,114453,78124,86728
Kansas,105118,102456,68643,77279
Kentucky,97824,111411,63288,72376
Louisiana,102592,98517,67789,74802
Maine,129931,116888,69468,91428
Maryland,112378,125616,72435,101187
Massachusetts,128900,147512,83473,95305
Michigan,105489,118975,68115,78149
Minnesota,123044,118153,81303,89712
Mississippi,109345,106556,71412,80378
Missouri,104859,117743,67649,77728
Montana,117429,109941,79115,84436
Nebraska,101966,113668,65690,91371
Nevada,128653,149976,83624,94881
New Hampshire,121396,112502,82409,86804
New Jersey,127259,120740,84878,92173
New Mexico,114991,109645,76401,83516
New York,145027,134797,98238,103867
North Carolina,97172,109277,62709,72016
North Dakota,118252,139565,77057,87059
Ohio,114445,109680,75739,83353
Oklahoma,106910,119180,68874,95802
Oregon,125467,148689,81828,92319
Pennsylvania,121315,112786,82161,86897
Rhode Island,118510,140442,77290,87199
South Carolina,106427,119684,68682,78875
South Dakota,118340,139670,77115,87125
Tennessee,112017,107350,74134,81583
Texas,104965,113930,67273,89690
Utah,111953,107642,73901,81684
Vermont,130783,120783,72641,93341
Virginia,112528,125440,72494,100834
Washington,126680,137971,81244,108915
West Virginia,104532,97183,70795,74874
Wisconsin,126987,121144,84340,92253
Wyoming,123698,115307,83611,88732
